nom,role,photo,description
Raphaël Adam,Maire - cadre de la fonction publique,1-RADAM.png, candidat société civile Nanterre et Plus
Nadine Ali,Coordinatrice en recherche clinique,2-ALI_VIOLET copie.jpg,candidate société civile Nanterre et Plus
Hakim Allal,Cadre de la fonction publique territoriale,3-ALLAL_VERT copie.jpg,candidat société civile Nanterre et Plus
Elsa Amand,Cadre de la fonction publique,4-AMAND_VIOLET copie.jpg,cadre à la SNCF
Imed Azzouz,Ingénieur en informatique,5-AZZOUZ_VERT copie.jpg,candidat société civile Nanterre et Plus
Caroline Bardot,Inspectrice du travail,6-BARDOT_VIOLET 2copie.jpg, candidate PCF
Loubna Benazzi,Directrice d'une association,7-BENAZZI._VERTJPG copie.jpg,candidate société civile Nanterre et Plus
Zacharia Ben Amar,Postier,8-BEN AMAR_VIOLET copie.jpg,candidat Les Ecologistes
Olivier Bensmaine,Inspecteur des finances publiques,9-BENSMAINE_VERT copie.jpg,candidat Gauche Républicaine et Socialiste
Habiba Bigdade,Chargée de mission,10-BIGDADE_VILOET copie.jpg,candidate Gauche Républicaine et Socialiste
Eleonore Bonnereau,Professeure des écoles,11-BONNEREAU_VERT copie.jpg,candidate Les Ecologistes
Jean-Luc Borg,Comédien metteur en scène,12-BORG_VIOLET copie.jpg,candidat Les Ecologistes
Naima Boudar,Directrice d'une association et psychologue,13-BOUDAR_VERT copie.jpg,candidate L'Après
Pierre Campion,Retraité,14BIS-CAMPION violet copie.jpg,candidat PCF
Lucie Champenois,Enseignante,15-CHAMPENOIS_VERT copie.jpg,candidate PCF
Fethi Chouder,Chef de projet informatique,16-CHOUDER_VIOLET copie.jpg,candidat L'Après
Caroline Cor-Théobald,Retraite,17-COR-THEOBALD_Vert copie.jpg,candidat Génération.s
Dominique Debras,Responsable administrative retraitée,18-DEBRAS_VIOLET copie.jpg,candidate Les Ecologistes
Anna Destrac,Cheffe monteuse,18BIS-DESTRAC vert copie.jpg, candidate Les Ecologistes
Ahmed Djama,Comptable,20-DJAMAIVIOLET copie.jpg,candidat société civile Nanterre et Plus
Ousman Diaby,Directeur technique,21-DIABY_VERT copie.jpg,candidat société civile Nanterre et Plus
Mamadou Diallo,Educateur,22-DIALLO_VIOLET copie.jpg,candidat société civile Nanterre et Plus
Latifa El-Krymy,Manager de production moteurs,23-EL KRYMY-VERT copie.jpg,candidate société civile Nanterre et Plus
Emmanuelle Fossati,Cadre commerciale,24-FOSSATI_VIOLET copie.jpg,candidate Génération.s
Gilles Gauché-Cazalis,Ingénieur en système d'information,25-GAUCHE_CAZALIS VERT.jpg,candidat société civile Nanterre et Plus
Kenzy Gauthirot,Agent administratif des finances,26_GAUTHIEROT VIOLET copie.jpg,candidat Les Ecologistes
Chahrazad Guebli,Fonctionnaire,27-GUEBLI VERT copie.jpg,candidate Les Ecologistes
Ahmed Hassani,Second chef de cuisine,28-HASSANI VIOLET copie.jpg,candidat société civile Nanterre et Plus
Saloua Houri,Assistante de direction,29-HOURI VERT copie.jpg,candidate société civile Nanterre et Plus
Patrick Jarry,Maire honoraire Conseiller départemental,30-JARRY VIOLET copie.jpg,candidat société civile Nanterre et Plus
Jean-Luc Jathières,Responsable informatique retraité,31-JATHIERES VERT copie.jpg,candidat PCF
Assia Kachour,Contrôleuse aux finances publiques,32-KACHOUR VIOLET copie.jpg,candidate société civile Nanterre et Plus
Clémence Lacot,Retraitée,33-LACOT VERT copie.jpg,candidate Société civile Nanterre et Plus
François Lonc,Enseignant,34-LONC VIOLET copie.jpg,candidat Les Ecologistes
Nadège Magnon,Avocate,35-MAGNON VERT copie.jpg,candidate PCF
Alexis Martin,Ingénieur multimédia,36-MARTIN VIOLET copie.jpg,candidat Les Ecologistes
Valérie Méteyer,Directrice conseil associée,37-METEYER VERT copie.jpg,candidat Les Ecologistes
Hayette Okba,Assistante de direction,38-OKBA VIOLET copie.jpg,candidate société civile Nanterre et Plus
Hadrien Ozcan-Kilinc,Inspecteur des finances publiques,39-OZCAN_KILLINC VERT copie.jpg,candidat Nanterre Socialiste
Eric Pateyron,Directeur d'école,40-PATEYRON VIOLET copie.jpg,candidat société civile Nanterre et Plus
Benoit Peguet,Créateur d'entreprise,41-PEGUET VERT copie.jpg,candidat Les Ecologistes
Patricia Penture,Educatrice spécialisée,42-PENTURE VIOLET copie.jpg,candidate PCF
José Pinto Martins,Artisan indépendant,43-PINTO VERT copie.jpg,candidat société civile Nanterre et Plus
Francis Poezevara,Cadre d'un grand groupe public,44-POEZEVARA VIOLET copie.jpg,candidat Génération.s
Aziza Rahmouni,Etudiante professeure des écoles,45-RAHMOUNI VERT copie.jpg,candidate Nanterre Socialiste
Nesrine Rezzag Bara,Conseillère principale d'éducation,46-REZZAG_BARA VIOLET copie.jpg,candidate Nanterre Socialiste
Saadia Ridjali,Médiatrice sociale et gestionnaire,47-RIDJALI VERT copie.jpg,candidate Les Ecologistes
Jérôme Saddier,Chef d'entreprise,48-SADDIER violet copie.jpg,candidat Nanterre Socialiste
Samia Saidj,Enseignante,49-SAIDJ vert copie.jpg,candidate Les Ecologiste
Julien Sage,Délégué général adjoint,50-SAGE violet copie.jpg,candidat Les Ecologistes
Sabrina Sebaihi,Députée de Nanterre-Suresnes,51-SEBAIHI vert copie.jpg,candidate Les Ecologistes
Jean-Yves Sioubalack,Chef d'équipe,52-SIOUBALACK violet copie.jpg,candidat société civile Nanterre et Plus
Farida Slimani,Gestionnaire carrière-paie,53-SLIMANI vertcopie.jpg,candidate société civile Nanterre et Plus
Eric Solas,Community manager,54-SOLAS violet copie.jpg,candidat PCF
Baris Turak,Médecin retraité,55-TURAC VERT copie.jpg,candidat PCF
