grand_theme,icone,theme,sous_theme,point
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Construire des logements abordables et de qualité,"Continuer de construire des logements mixtes, intégrant 40% de logements HLM, hors quartiers Politique de la Ville pour favoriser la mixité à l'échelle des immeubles"
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Construire des logements abordables et de qualité,Poursuivre le développement du Bail réel solidaire (BRS) pour permettre aux Nanterrien.ne.s d’acquérir à des prix inférieurs à ceux du marché
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Construire des logements abordables et de qualité,Développer la conversion des bureaux vacants en logements
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Construire des logements abordables et de qualité,"Actualiser et renforcer la charte de qualité des constructions neuves (30% de pleine terre, récupération de l’eau de pluie, espaces adaptés au quotidien …)"
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Construire des logements abordables et de qualité,Encadrer le développement du coliving en s’opposant aux projets proposant des loyers excessifs
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Construire des logements abordables et de qualité,Achever la transformation des foyers de travailleurs migrants en résidences sociales
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Accompagner les Nanterrien.ne.s et se mobiliser face à la crise,Renforcer la prévention des expulsions et des impayés de loyers
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Accompagner les Nanterrien.ne.s et se mobiliser face à la crise,Se mobiliser auprès de POLD pour la mise en place de l’encadrement des loyers
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Accompagner les Nanterrien.ne.s et se mobiliser face à la crise,Être plus exigeant vis-à-vis des bailleurs sociaux pour qu’ils s’investissent davantage dans les programmes mixtes où ils ont des logements
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Accompagner les Nanterrien.ne.s et se mobiliser face à la crise,Conditionner les exonérations de taxe foncière des bailleurs sociaux sur les propriétés bâties à des projets contribuant à l’équilibre social des quartiers populaires
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Accompagner les Nanterrien.ne.s et se mobiliser face à la crise,Organiser une journée des copropriétaires et des amicales de locataires
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Accompagner les Nanterrien.ne.s et se mobiliser face à la crise,Créer une assurance habitation municipale sur le modèle de la mutuelle communale
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Accompagner les Nanterrien.ne.s et se mobiliser face à la crise,Exiger des bailleurs sociaux d'appliquer le principe de non-augmentation des loyers en cas de mutation vers un logement plus petit
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Garantir la transparence et l'équité dans le traitement des demandes de logement et de mutation,Expérimenter l’anonymisation des dossiers en commissions d’attribution de logements à Nanterre Coop Habitat
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Garantir la transparence et l'équité dans le traitement des demandes de logement et de mutation,Exiger de l’ensemble des bailleurs un traitement équitable et transparent des demandes de logement et de mutation
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Garantir la transparence et l'équité dans le traitement des demandes de logement et de mutation,Organiser des réunions d’information à destination des nouveaux demandeur.euse.s de logement
Nanterre qui protège,Nanterrequiprotege.png,Habitat & logement,Garantir la transparence et l'équité dans le traitement des demandes de logement et de mutation,Relancer la journée annuelle de l’habitat
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Protéger et reloger les femmes victimes de violences,"Prioriser, avec les bailleurs sociaux, les demandes de mutation des femmes victimes de violences"
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Protéger et reloger les femmes victimes de violences,"Créer un contingent dédié au relogement des femmes victimes de violences, dans le parc ancien comme dans le neuf"
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Protéger et reloger les femmes victimes de violences,Engager une mobilisation intercommunale pour faciliter les solutions de relogement
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Protéger et reloger les femmes victimes de violences,Agir auprès du Département pour la mise en place d’un plan départemental
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,"Prévenir, former et sensibiliser",Généraliser la formation des élu.e.s et des agent.e.s de la Ville sur les violences sexistes et sexuelles
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,"Prévenir, former et sensibiliser","Déployer des actions d’information et de sensibilisation sur la santé des femmes, la puberté et la précarité menstruelle à destination des femmes et des jeunes filles"
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,"Prévenir, former et sensibiliser","Lutter contre les stéréotypes de genre et le masculinisme, dès le plus jeune âge"
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Garantir l’égalité dans l’espace public et les politiques locales,Poursuivre la féminisation de l’espace public en donnant aux rues et équipements municipaux des noms de grandes figures féminines
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Garantir l’égalité dans l’espace public et les politiques locales,"Élaborer et déployer un plan municipal d’égalité, transversal, doté d’objectifs clairs, d’indicateurs de suivi et d’une évaluation régulière"
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Garantir l’égalité dans l’espace public et les politiques locales,Amplifier la mise à disposition de protections menstruelles réutilisables gratuites
Nanterre qui protège,Nanterrequiprotege.png,Droits des femmes,Garantir l’égalité dans l’espace public et les politiques locales,Mettre en place un congé municipal lié aux règles et à l’endométriose et poursuivre les démarches auprès de l’État pour une reconnaissance légale
Nanterre qui protège,Nanterrequiprotege.png,"Sécurité, tranquillité et prévention",Intensifier la vidéo-verbalisation en poursuivant le déploiement de la vidéoprotection,
Nanterre qui protège,Nanterrequiprotege.png,"Sécurité, tranquillité et prévention",Augmenter les effectifs de la Police Municipale,
Nanterre qui protège,Nanterrequiprotege.png,"Sécurité, tranquillité et prévention","Mieux traiter les incivilités en combinant pédagogie, prévention, médiation et verbalisation des infractions",
